IMIĘ PIERWSZE,PŁEĆ,LICZBA WYSTĄPIEŃ
ANNA,KOBIETA,1075653
KATARZYNA,KOBIETA,605826
MARIA,KOBIETA,594197
MAŁGORZATA,KOBIETA,579481
AGNIESZKA,KOBIETA,548636
BARBARA,KOBIETA,485438
EWA,KOBIETA,478990
MAGDALENA,KOBIETA,434693
ELŻBIETA,KOBIETA,420102
KRYSTYNA,KOBIETA,413847
JOANNA,KOBIETA,404892
ALEKSANDRA,KOBIETA,389099
MONIKA,KOBIETA,378440
ZOFIA,KOBIETA,373092
TERESA,KOBIETA,335287
NATALIA,KOBIETA,314773
JULIA,KOBIETA,303234
DANUTA,KOBIETA,301751
KAROLINA,KOBIETA,293737
MARTA,KOBIETA,289815
BEATA,KOBIETA,280756
DOROTA,KOBIETA,269186
ALICJA,KOBIETA,251102
HALINA,KOBIETA,243336
JADWIGA,KOBIETA,238547
JOLANTA,KOBIETA,238489
IWONA,KOBIETA,233227
GRAŻYNA,KOBIETA,230489
JANINA,KOBIETA,226676
PAULINA,KOBIETA,223901
ZUZANNA,KOBIETA,219547
JUSTYNA,KOBIETA,216865
IRENA,KOBIETA,215927
HANNA,KOBIETA,215797
WIKTORIA,KOBIETA,203468
BOŻENA,KOBIETA,200589
RENATA,KOBIETA,188669
URSZULA,KOBIETA,186308
AGATA,KOBIETA,183638
SYLWIA,KOBIETA,182687
MAJA,KOBIETA,175030
PATRYCJA,KOBIETA,169306
HELENA,KOBIETA,167835
IZABELA,KOBIETA,159380
EMILIA,KOBIETA,159330
OLIWIA,KOBIETA,156058
ANETA,KOBIETA,151841
WERONIKA,KOBIETA,150995
EWELINA,KOBIETA,148260
MARTYNA,KOBIETA,141765
KLAUDIA,KOBIETA,138643
GABRIELA,KOBIETA,133051
MARZENA,KOBIETA,129686
LENA,KOBIETA,126549
DOMINIKA,KOBIETA,122527
MARIANNA,KOBIETA,121290
AMELIA,KOBIETA,121159
KINGA,KOBIETA,120526
STANISŁAWA,KOBIETA,115374
EDYTA,KOBIETA,114204
KAMILA,KOBIETA,111005
WIESŁAWA,KOBIETA,106801
ALINA,KOBIETA,102163
WANDA,KOBIETA,95630
DARIA,KOBIETA,85550
LIDIA,KOBIETA,83109
MARIOLA,KOBIETA,82314
LUCYNA,KOBIETA,80942
TETIANA,KOBIETA,78904
NIKOLA,KOBIETA,76728
MILENA,KOBIETA,75382
NATALIIA,KOBIETA,74219
OLENA,KOBIETA,73080
WIOLETTA,KOBIETA,72654
MIROSŁAWA,KOBIETA,70835
IRYNA,KOBIETA,69432
LAURA,KOBIETA,68705
ANTONINA,KOBIETA,66429
ANGELIKA,KOBIETA,64922
OLGA,KOBIETA,60922
KAZIMIERA,KOBIETA,57167
OLHA,KOBIETA,56090
BOGUMIŁA,KOBIETA,55562
OKSANA,KOBIETA,54962
ILONA,KOBIETA,54790
MICHALINA,KOBIETA,54383
SANDRA,KOBIETA,54149
GENOWEFA,KOBIETA,52195
MARIIA,KOBIETA,52027
SVITLANA,KOBIETA,51653
NADIA,KOBIETA,51425
YULIIA,KOBIETA,49583
ANASTASIIA,KOBIETA,49489
KORNELIA,KOBIETA,49171
MARLENA,KOBIETA,48490
VIKTORIIA,KOBIETA,48155
HENRYKA,KOBIETA,47936
ŁUCJA,KOBIETA,47856
SABINA,KOBIETA,47632
BOGUSŁAWA,KOBIETA,47555
NINA,KOBIETA,45929
JÓZEFA,KOBIETA,45912
ANITA,KOBIETA,45828
STEFANIA,KOBIETA,45054
IGA,KOBIETA,44739
LILIANA,KOBIETA,44645
REGINA,KOBIETA,43728
POLA,KOBIETA,43463
MARCELINA,KOBIETA,43323
KATERYNA,KOBIETA,42608
JAGODA,KOBIETA,41556
CZESŁAWA,KOBIETA,39629
ANIELA,KOBIETA,39292
WŁADYSŁAWA,KOBIETA,38678
KARINA,KOBIETA,36638
LIUDMYLA,KOBIETA,36504
WIOLETA,KOBIETA,34421
ADRIANNA,KOBIETA,33689
DIANA,KOBIETA,32586
ROKSANA,KOBIETA,31975
DAGMARA,KOBIETA,31723
SARA,KOBIETA,30962
MALWINA,KOBIETA,30097
HALYNA,KOBIETA,27954
ELIZA,KOBIETA,27710
CECYLIA,KOBIETA,27481
ŻANETA,KOBIETA,27136
MARYNA,KOBIETA,26771
ZDZISŁAWA,KOBIETA,26184
SOFIIA,KOBIETA,25873
KLARA,KOBIETA,25510
RÓŻA,KOBIETA,25272
KAJA,KOBIETA,24940
VALENTYNA,KOBIETA,24848
LEOKADIA,KOBIETA,24757
BLANKA,KOBIETA,24233
NADIIA,KOBIETA,23451
ANASTAZJA,KOBIETA,23401
BERNADETA,KOBIETA,22943
BRONISŁAWA,KOBIETA,22236
EUGENIA,KOBIETA,22041
JULITA,KOBIETA,21800
OLEKSANDRA,KOBIETA,21633
ALDONA,KOBIETA,21069
ROZALIA,KOBIETA,20544
VIOLETTA,KOBIETA,20517
DANIELA,KOBIETA,20067
LILIANNA,KOBIETA,19439
INNA,KOBIETA,19216
MAGDA,KOBIETA,18330
CELINA,KOBIETA,17712
YANA,KOBIETA,17493
MATYLDA,KOBIETA,17036
LIUBOV,KOBIETA,17033
ADRIANA,KOBIETA,16170
HONORATA,KOBIETA,16126
VERONIKA,KOBIETA,15775
NELA,KOBIETA,15560
